2026-07-01 20:02:01.098 | WARNING  | src.data_pipeline.yfinance_loader:fetch_data:11 - YFinance จำกัดข้อมูล 15m สูงสุด 60 วัน (ปรับอัตโนมัติจาก 365 -> 60)
2026-07-01 20:02:01.098 | INFO     | src.data_pipeline.yfinance_loader:fetch_data:17 - Downloading DX-Y.NYB [15m] from 2026-05-02 to 2026-07-01
2026-07-01 20:02:01.444 | WARNING  | src.data_pipeline.yfinance_loader:fetch_data:11 - YFinance จำกัดข้อมูล 15m สูงสุด 60 วัน (ปรับอัตโนมัติจาก 365 -> 60)
2026-07-01 20:02:01.445 | INFO     | src.data_pipeline.yfinance_loader:fetch_data:17 - Downloading SI=F [15m] from 2026-05-02 to 2026-07-01
2026-07-01 20:02:01.757 | INFO     | src.data_pipeline.synchronizer:merge_cross_assets:11 - เริ่มกระบวนการ Cross-Asset Synchronization...
2026-07-01 20:02:01.764 | DEBUG    | src.data_pipeline.synchronizer:merge_cross_assets:37 - Missing Values Cleared: ก่อน 955 -> หลัง 0
2026-07-01 20:02:01.764 | SUCCESS  | src.data_pipeline.synchronizer:merge_cross_assets:38 - Final Synchronized Shape: (3740, 15)
2026-07-01 20:02:01.764 | INFO     | src.data_pipeline.feature_engineer:generate_features:13 - เริ่มสร้าง Technical & Cross-Asset Features...
2026-07-01 20:02:01.915 | INFO     | src.data_pipeline.feature_engineer:generate_target:81 - สร้าง Target: วิ่งเกิน 0.5 ATR ภายใน 3 แท่งถัดไป
2026-07-01 20:02:01.917 | DEBUG    | src.data_pipeline.feature_engineer:generate_target:103 - Drop NaN (ช่วงก่อตัว Indicator & ท้ายตาราง): 3740 -> 3541 rows
2026-07-01 20:02:02.001 | SUCCESS  | __main__:main:51 - Phase 3 เสร็จสมบูรณ์! Dataset Shape: (3541, 42)
2026-07-01 20:02:02.001 | SUCCESS  | __main__:main:52 - จำนวน Feature ทั้งหมด: 40 Features
2026-07-01 20:02:02.063 | INFO     | __main__:main:70 - เตรียมข้อมูล X (Features) และ y (Target)...
2026-07-01 20:02:02.063 | INFO     | __main__:main:84 - จำนวน Features ทั้งหมดที่จะเข้าโมเดล: 31
2026-07-01 20:02:02.063 | INFO     | src.ml_engine.lgb_trainer:optimize_and_train:62 - เริ่มกระบวนการ Optuna Hyperparameter Tuning (LightGBM)...
2026-07-01 20:02:06.605 | SUCCESS  | src.ml_engine.lgb_trainer:optimize_and_train:72 - ค้นพบ Best Params: {'learning_rate': 0.06227723630809731, 'num_leaves': 17, 'max_depth': 5, 'min_child_samples': 198, 'feature_fraction': 0.6932631032461909, 'bagging_fraction': 0.757489055102869, 'reg_alpha': 3.040315892195426, 'reg_lambda': 1.010730157430264, 'objective': 'binary', 'verbosity': -1}
2026-07-01 20:02:06.605 | INFO     | src.ml_engine.lgb_trainer:optimize_and_train:75 - กำลัง Train โมเดลรอบสุดท้ายด้วย Best Params...
2026-07-01 20:02:06.883 | INFO     | __main__:main:108 - นำ Best Params มาทดสอบเสมือนจริงด้วย Walk-Forward...
2026-07-01 20:02:06.883 | INFO     | src.backtester.validator:evaluate:15 - เริ่มทำ Walk-Forward Validation จำนวน 5 Folds...
2026-07-01 20:03:58.312 | INFO     | __main__:main:15 - ==================================================
2026-07-01 20:03:58.312 | INFO     | __main__:main:16 - 🚀 Starting AlphaQuant-Gold [Phase 1-3]
2026-07-01 20:03:58.312 | INFO     | __main__:main:17 - ==================================================
2026-07-01 20:03:58.312 | WARNING  | src.data_pipeline.yfinance_loader:fetch_data:11 - YFinance จำกัดข้อมูล 15m สูงสุด 60 วัน (ปรับอัตโนมัติจาก 365 -> 60)
2026-07-01 20:03:58.312 | INFO     | src.data_pipeline.yfinance_loader:fetch_data:17 - Downloading GC=F [15m] from 2026-05-02 to 2026-07-01
2026-07-01 20:03:59.090 | WARNING  | src.data_pipeline.yfinance_loader:fetch_data:11 - YFinance จำกัดข้อมูล 15m สูงสุด 60 วัน (ปรับอัตโนมัติจาก 365 -> 60)
